fips,Adult smoking percentage,Adult obesity percentage,Excessive drinking percentage
22047,21,38,18
22049,22,34,18
22051,19,33,20
22053,21,41,19
22055,18,31,20
22057,19,40,21
22059,23,34,20
22061,21,36,19
22063,22,37,21
22065,28,41,15
22067,23,43,16
22069,24,36,18
22071,23,30,23
22073,21,40,18
22075,20,38,20
22077,20,31,18
22079,22,40,17
22081,22,31,17
22083,23,36,17
22085,21,46,19
22087,23,43,20
22089,19,37,21
22091,24,32,16
22093,19,38,19
22095,21,43,18
22097,24,34,18
22099,22,37,20
22101,22,38,18
22103,18,30,21
22105,22,39,20
22107,28,31,12
22109,22,42,20
22111,19,38,17
22113,20,39,20
22115,20,35,22
22117,23,43,16
22119,23,33,16
22121,20,38,20
22123,21,47,19
22125,22,22,20
22127,23,37,17
23001,16,34,20
23003,19,36,15
23005,11,23,23
23007,16,34,20
23009,14,25,21
23011,16,34,19
23013,14,27,21
23015,15,25,18
23017,18,33,19
23019,17,34,20
23021,19,37,18
23023,14,25,21
23025,19,34,18
23027,18,31,19
23029,18,33,19
23031,14,30,21
24001,16,37,16
24003,14,29,19
24005,13,31,17
24009,14,32,18
24011,19,40,16
24013,13,33,17
24015,17,33,18
24017,14,36,16
24019,18,39,15
24021,12,29,18
24023,15,37,16
24025,15,32,18
24027,9,25,16
24029,13,30,16
24031,8,21,16
24033,12,37,14
24035,12,29,18
24037,15,36,19
24039,20,44,15
24041,13,28,17
24043,15,36,16
24045,15,36,17
24047,14,35,15
24510,20,35,19
25001,12,21,20
25003,14,26,19
25005,15,29,21
25007,12,27,21
25009,12,25,21
25011,14,29,20
25013,15,31,20
25015,13,20,24
25017,10,22,23
25019,14,25,22
25021,12,23,21
25023,15,28,22
25025,14,21,24
25027,14,27,23
26001,16,35,16
26003,18,26,19
26005,16,34,19
26007,17,34,19
26009,16,32,18
26011,18,36,18
26013,19,36,19
26015,16,37,20
26017,18,36,20
26019,16,37,19
26021,17,33,16
26023,18,38,19
26025,19,34,18
26027,16,40,19
26029,15,35,19
26031,18,30,18
26033,22,41,21
26035,20,37,17
26037,15,34,23
26039,18,32,18
26041,17,36,18
26043,18,24,19
26045,17,37,20
26047,17,27,20
26049,19,35,18
26051,18,43,17
26053,19,31,18
26055,17,31,20
26057,20,38,19
26059,19,39,19
26061,19,31,22
26063,16,34,19
26065,18,32,22
26067,18,35,22
26069,17,31,17
26071,17,28,17
26073,20,33,22
26075,19,36,18
26077,18,31,22
26079,19,34,19
26081,15,30,22
26083,16,29,16
26085,20,27,16
26087,16,34,20
26089,14,28,19
26091,17,40,20
26093,14,28,20
26095,20,31,19
26097,19,35,17
26099,19,32,22
26101,16,30,18
26103,17,36,22
26105,18,28,18
26107,19,34,21
26109,17,31,20
26111,15,38,21
26113,18,37,19
26115,17,38,20
26117,20,36,20
26119,17,36,17
26121,20,36,20
26123,19,35,19
26125,12,25,20
26127,18,31,19
26129,19,39,18
26131,17,30,16
26133,19,40,18
26135,17,39,17
26137,18,27,20
26139,14,27,22
26141,16,33,16
26143,17,34,16
26145,18,37,19
26147,18,34,20
26149,18,34,21
26151,18,33,18
26153,19,29,17
26155,18,38,20
26157,18,31,19
26159,18,34,19
26161,12,25,21
26163,21,35,17
26165,19,36,20
27001,15,30,19
27003,15,30,21
27005,17,30,21
27007,19,34,24
27009,17,30,23
27011,15,35,19
27013,16,33,25
27015,13,33,21
27017,20,30,22
27019,12,24,24
27021,16,31,17
27023,15,34,20
27025,15,29,25
27027,15,28,25
27029,19,31,19
27031,15,22,21
27033,14,35,18
27035,17,30,20
27037,14,29,21
27039,14,37,22
27041,13,33,20
27043,14,33,19
27045,15,29,20
27047,15,36,19
27049,15,32,22
27051,15,33,19
27053,12,23,24
27055,14,29,21
27057,14,34,18
27059,15,34,21
27061,16,33,19
27063,14,29,20
27065,18,33,22
27067,15,28,19
27069,15,30,19
27071,16,29,19
27073,13,35,19
27075,14,28,20
27077,15,29,20
27079,14,35,22
27081,14,28,20
27083,15,31,21
27085,14,35,20
27087,25,39,18
27089,14,38,20
27091,14,32,18
27093,14,33,23
27095,18,31,20
27097,15,32,21
27099,15,32,20
27101,14,32,20
27103,14,28,23
27105,14,33,18
27107,15,36,21
27109,12,27,19
27111,13,31,20
27113,14,27,21
27115,20,35,20
27117,15,32,19
27119,15,39,22
27121,14,31,20
27123,14,26,21
27125,15,37,21
27127,15,35,20
27129,14,34,21
27131,15,26,24
27133,14,25,21
27135,15,35,22
27137,17,28,24
27139,12,29,24
27141,15,30,25
27143,14,39,22
27145,15,29,25
27147,14,31,19
27149,14,31,22
27151,15,38,20
27153,15,37,19
27155,15,33,20
27157,14,37,21
27159,16,34,20
27161,15,33,20
27163,11,25,20
27165,15,32,20
27167,15,30,21
27169,15,30,23
27171,15,32,22
27173,15,35,20
28001,22,35,12
28003,19,35,15
28005,19,40,12
28007,19,37,12
28009,18,40,14
28011,25,39,12
28013,20,38,13
28015,16,34,14
28017,21,45,12
28019,19,38,13
28021,25,41,10
28023,18,29,13
28025,21,40,12
28027,25,42,11
28029,20,39,13
28031,20,38,14
28033,15,35,16
28035,19,31,15
28037,18,32,13
28039,17,39,17
28041,17,37,17
28043,20,42,13
28045,18,34,17
28047,22,34,17
28049,19,37,13
28051,28,46,10
28053,26,46,10
28055,27,27,11
28057,19,34,15
28059,19,33,15
28061,19,45,12
28063,27,54,9
28065,25,40,10
28067,19,40,14
28069,23,39,11
28071,18,32,18
28073,17,34,18
28075,20,36,13
28077,20,34,14
28079,21,40,13
28081,18,31,14
28083,24,37,11
28085,20,39,14
28087,17,37,13
28089,15,36,17
28091,20,36,13
28093,19,44,14
28095,18,36,13
28097,19,38,13
28099,22,43,13
28101,20,34,13
28103,22,42,11
28105,19,34,17
28107,21,34,13
28109,19,38,16
28111,20,34,14
28113,23,34,13
28115,18,35,15
28117,21,32,13
28119,26,42,10
28121,16,35,16
28123,21,49,13
28125,24,50,10
28127,21,44,13
28129,18,38,14
28131,18,41,15
28133,25,50,13
28135,22,44,13
28137,18,37,16
28139,19,40,14
28141,18,38,14
28143,22,40,12
28145,17,40,15
28147,20,37,11
28149,20,36,13
28151,21,43,11
28153,19,42,13
28155,19,33,14
28157,25,38,11
28159,20,39,12
28161,20,33,13
28163,25,41,12
29001,21,28,19
29003,18,32,19
29005,18,39,17
29007,21,35,17
29009,22,38,16
29011,20,26,17
29013,20,37,19
29015,20,34,15
29017,21,32,17
29019,19,26,24
29021,22,38,18
29023,22,38,17
29025,20,33,18
29027,18,37,20
29029,18,23,17
29031,18,32,19
29033,20,38,17
29035,21,28,17
29037,17,37,20
29039,23,34,15
29041,19,29,16
29043,19,31,19
29045,20,30,17
29047,16,33,20
29049,18,33,19
29051,18,36,20
29053,19,34,19
29055,23,40,17
29057,21,34,16
29059,20,33,17
29061,20,45,18
29063,20,37,20
29065,22,22,16
29067,22,31,15
29069,26,41,15
29071,19,33,20
29073,18,31,18
29075,19,29,18
29077,20,33,19
29079,20,34,17
29081,21,32,16
29083,21,31,17
29085,20,33,14
29087,19,29,16
29089,20,34,17
29091,22,37,16
29093,22,26,16
29095,20,32,21
29097,19,39,19
29099,19,33,20
29101,20,34,23
29103,19,35,17
29105,22,31,17
